도로명대지위치,주용도코드명,세대수,연면적(㎡),위도,경도,가중치,UTM_X,UTM_Y
경상북도 영주시 철탄길34번길 11 (영주동),단독주택,1,23.6,36.8294018869956,128.626633340719,0.452899429659666,1100468.7509891735,1870724.7738964416
경상북도 영주시 철탄길34번길 11 (영주동),단독주택,1,22.74,36.8294018869956,128.626633340719,0.452899429659666,1100468.7509891735,1870724.7738964416
경상북도 영주시 철탄길34번길 9 (영주동),단독주택,1,87.82,36.8293281647872,128.626503109533,0.452899429659666,1100457.2334571523,1870716.4585358556
경상북도 영주시 철탄길 28-1 (영주동),단독주택,1,48.89,36.8292132721094,128.626267098381,0.452899429659666,1100436.336320145,1870703.4647240613
경상북도 영주시 철탄길 28-2 (영주동),단독주택,1,23.72,36.8291326287943,128.62616855255,0.7049816382069481,1100427.6534645378,1870694.4149041264
경상북도 영주시 철탄길 32 (영주동),단독주택,1,48.4,36.8290948162027,128.626133455109,0.7049816382069481,1100424.5729146043,1870690.1832395277
경상북도 영주시 철탄길34번길 2 (영주동),단독주택,1,106.14,36.8291809525331,128.626093920355,0.7049816382069481,1100420.9346252163,1870699.6973282995
경상북도 영주시 철탄길34번길 5 (영주동),단독주택,0,83.65,36.8293468506341,128.626138342087,1.2648835317069684,1100424.679277191,1870718.1481021387
경상북도 영주시 철탄길34번길 3-2 (영주동),단독주택,1,48.6,36.8294217780486,128.626154162661,0.452899429659666,1100425.9922005937,1870726.476885407
경상북도 영주시 철탄길34번길 7 (영주동),단독주택,1,35.4,36.8293659758212,128.626241974483,0.452899429659666,1100433.8961505112,1870720.3786813938
경상북도 영주시 철탄길34번길 3-8 (영주동),단독주택,1,41.2,36.8296110927433,128.626410019429,0.452899429659666,1100448.5618026135,1870747.7476244087
경상북도 영주시 철탄길34번길 3-10 (영주동),단독주택,1,35.2,36.8297938687064,128.626419381379,0.452899429659666,1100449.157707849,1870768.0339268267
경상북도 영주시 철탄길34번길 3-9 (영주동),단독주택,1,37.84,36.8296522098097,128.626269441971,0.452899429659666,1100435.9714762438,1870752.161244037
경상북도 영주시 철탄길34번길 3-3 (영주동),단독주택,1,77.82,36.8295214513252,128.62603399096,0.452899429659666,1100415.1450892442,1870737.4079796309
경상북도 영주시 철탄길 42-8 (영주동),단독주택,1,39.66,36.8295338803088,128.625915783106,0.452899429659666,1100404.5871628136,1870738.6626049574
경상북도 영주시 철탄길34번길 3-1 (영주동),단독주택,1,50.8,36.8294341592975,128.625960410626,0.452899429659666,1100408.697343346,1870727.646828039
경상북도 영주시 철탄길34번길 3 (영주동),단독주택,1,49.78,36.8293306716482,128.626010338239,0.452899429659666,1100413.2851163251,1870716.2187656101
경상북도 영주시 철탄길 38 (영주동),단독주택,1,126.73,36.8293286452891,128.625875236583,0.452899429659666,1100401.239476322,1870715.8520253706
경상북도 영주시 철탄길 40 (영주동),단독주택,1,42.54,36.8293540238872,128.625719307265,0.659245628884264,1100387.3006266013,1870718.5036239899
경상북도 영주시 철탄길 42 (영주동),단독주택,1,96.49,36.8293716235735,128.625598519066,0.659245628884264,1100376.5058126783,1870720.3291917634
경상북도 영주시 철탄길 46 (영주동),단독주택,1,188.31,36.8294753748231,128.62546341399,0.659245628884264,1100364.3216845363,1870731.6970591613
경상북도 영주시 철탄길 56 (영주동),단독주택,1,81.28,36.8298154454713,128.625349112454,0.659245628884264,1100353.6841294253,1870769.3031511125
경상북도 영주시 철탄길 60 (영주동),단독주택,1,109.81,36.8299172064458,128.625293655062,0.659245628884264,1100348.6055794852,1870780.5338870855
경상북도 영주시 철탄길 58-2 (영주동),단독주택,1,42.28,36.829949848265,128.625456529638,0.659245628884264,1100363.0878851567,1870784.3260826883
경상북도 영주시 철탄길 62 (영주동),단독주택,1,70.26,36.8300404555834,128.625300858242,0.659245628884264,1100349.0869570712,1870794.2142350653
경상북도 영주시 철탄길 64 (영주동),단독주택,1,52.74,36.830136827924,128.625296844872,0.7191226669632059,1100348.6031650992,1870804.9011970353
경상북도 영주시 철탄길 58-6 (영주동),단독주택,1,77.19,36.8301259760079,128.625550147307,0.7191226669632059,1100371.2064711591,1870803.9633374019
경상북도 영주시 철탄길 68 (영주동),단독주택,2,67.9,36.830293490914,128.625351157613,1.133098464739279,1100353.2420433452,1870822.3378185532
경상북도 영주시 철탄길 68-2 (영주동),단독주택,1,33.44,36.8303060258539,128.625580969641,0.7191226669632059,1100373.7199125127,1870823.9697473971
경상북도 영주시 철탄길 70-1 (영주동),단독주택,1,23.3,36.8304109002333,128.625548218991,0.7191226669632059,1100370.6622430892,1870835.5697097685
경상북도 영주시 철탄길 70 (영주동),단독주택,1,62.7,36.8303947293719,128.625366861886,0.7191226669632059,1100354.5102731718,1870833.5853148224
경상북도 영주시 철탄길 74 (영주동),단독주택,1,71.44,36.8306648832368,128.625166792256,0.7191226669632059,1100336.3155784146,1870863.3450675763
경상북도 영주시 철탄길 74 (영주동),단독주택,1,20.33,36.8306648832368,128.625166792256,0.7191226669632059,1100336.3155784146,1870863.3450675763
경상북도 영주시 철탄길 76 (영주동),단독주택,1,52.35,36.830703393172,128.625085001134,0.7191226669632059,1100328.9713259581,1870867.5313395758
경상북도 영주시 철탄길 82 (영주동),단독주택,1,29.7,36.8308703820238,128.624990348251,0.7191226669632059,1100320.312316333,1870885.957073107
경상북도 영주시 철탄길 78 (영주동),단독주택,1,62.76,36.8308061892754,128.625026314252,0.7191226669632059,1100323.603511435,1870878.8735329087
경상북도 영주시 철탄길 70-5 (영주동),단독주택,1,62.15,36.8308877906092,128.625127347238,0.7191226669632059,1100332.5068246874,1870888.0321411607
경상북도 영주시 철탄길 86-1 (영주동),단독주택,1,22.9,36.8309863363596,128.625135708912,0.7191226669632059,1100333.1237904239,1870898.973207368
경상북도 영주시 철탄길 84 (영주동),단독주택,1,31.1,36.8309677905203,128.624996219831,0.7191226669632059,1100320.7087227155,1870896.7693614361
경상북도 영주시 철탄길 86 (영주동),단독주택,1,13.91,36.8310692811772,128.62503961402,0.0,1100324.4459651874,1870908.0739005145
경상북도 영주시 철탄길 96-3 (영주동),단독주택,1,69.16,36.8316081059818,128.624761048918,1.2992829841302609,1100298.9007349112,1870967.556650633
